filenm,emotion,text,labels
M_000187,불안,나는 학교에서 친구를 괴롭히고 말았어. 그런데 오늘은 그 친구가 학교를 나오지 않아서 너무 신경이 쓰여.,3
M_000188,불안,난 여태 친구를 괴롭혔어. 선생님이 방과 후 교무실로 오라고 하셨는데 이것을 들켰을 것 같아서 초조해.,3
M_000189,불안,지난번 기말고사보다 성적이 더 떨어져서 걱정이야.,3
M_000190,불안,저번에도 면접에서 탈락했는데 이번에도 탈락할까 봐 정말 걱정스럽다.,3
M_000191,불안,이번에 시험을 봤어.,3
M_000192,불안,내 직장 동료가 상사에서 의논도 없이 독단적으로 일을 진행해서 상당히 걱정스럽네.,3
M_000193,불안,요즘 회식이 있다 보니 술을 먹게 되네.,3
M_000194,불안,요즘 일을 하는데 실수가 꽤 있어서 걱정되네.,3
M_000195,불안,친구가 고시생이어서 걱정되네.,3
M_000196,불안,결혼을 할 때 돈이 부족해 신혼집 마련 시 대출금을 받았어. 언제 다 갚을 수 있을지 모르겠어.,3
M_000197,불안,출산을 앞둔 아내가 혼자 있을 때 무슨 일이 생기지는 않을지 걱정이야.,3
M_000198,불안,여자 친구가 잠이 많아 계획한 공무원 시험 준비를 잘하고 있는지 모르겠어.,3
M_000199,불안,처가댁 식구들이 나를 별로 마음에 안 들어 하는 것 같아.,3
M_000200,불안,장모님이 병원에 입원하셔서 아내가 걱정을 많이 하고 있어.,3
M_000201,불안,여자 친구가 종종 밤만 되면 연락이 잘 안 돼.,3
M_000202,불안,아내가 회사에서 야근을 하는데 피곤해 보여서 걱정이야.,3
M_000203,불안,아이가 또래보다 발육이 늦는 것 같아 신경이 쓰여.,3
M_000204,불안,여자 친구와 만날 시간이 지났는데 전화를 받지 않고 연락이 안 와.,3
M_000205,불안,만나는 여자 친구와 내가 권태기가 온 것 같아.,3
M_000206,불안,임신한 아내가 입덧이 심해서 자나 깨나 걱정이야.,3
M_000207,불안,오늘 회식하는 여자 친구가 늦게까지 들어갔다는 연락이 없어. 전화를 해도 받지 않아.,3
M_000208,불안,나만 동기들과 다른 부서를 배정 받아서 슬퍼.,3
M_000209,불안,내 전공은 경영인데 적성에 안 맞는 것 같아서 걱정이야.,3
M_000210,불안,내년이면 서른인데 아직 취직을 못 했어.,3
M_000211,불안,요즘 밤마다 아내가 혼자 흐느끼면서 우는 것 같아. 무슨 안 좋은 일이 있는 건지 굉장히 걱정스러워.,3
M_000212,불안,시험을 마친 아들의 표정이 영 좋지가 않아. 아마 시험을 망친 것 같은데 아빠로서 많이 걱정스러워.,3
M_000213,불안,딸을 크게 꾸짖고 호통을 쳤는데 집에도 안 들어오고 연락도 되지 않아서 너무 걱정스럽고 속상해.,3
M_000214,불안,아내가 아이들이 다니는 학교에서 무슨 연락을 받자마자 부랴부랴 학교로 달려갔는데 무슨 일인지 걱정돼.,3
M_000215,불안,방에서 나오지 않던 딸이 궁금해서 슬며시 살펴봤는데 자고 있더라. 굉장히 걱정스러워지네.,3
M_000216,불안,항상 밝던 아내가 부쩍 말수도 적어지고 표정도 어두워서 걱정돼.,3
M_000217,불안,아들이 오토바이를 타는 걸 처음으로 알게 되었어. 굉장히 당황스럽고 저 녀석의 미래가 걱정돼.,3
M_000218,불안,말이 없는 아내가 갑자기 거실에서 소리를 질러서 깜짝 놀라면서도 걱정이 되어 나와 봤어.,3
M_000219,불안,딸이 최근에 학급 친구들 문제 때문에 힘들어하던데 어제부터는 방 안에서 나오지도 않아서 걱정이 많이 돼.,3
M_000220,불안,장모님께서 갑작스럽게 위급하셔서 아내가 바로 친정집으로 내려갔어. 난 일 때문에 못 내려가긴 했지만 굉장히 걱정스러워.,3
M_000221,불안,아내가 짜장면을 만들어 준다고 하다가 냄비에 손을 데어서 걱정스러워.,3
M_000222,불안,아들이 어제 운동을 하다가 다리뼈가 부러진 모양이야. 절뚝이는 모습을 보는데 너무 걱정스러워.,3
M_000223,불안,아들을 특수부대에 보냈는데 부상을 당할까 봐 걱정돼.,3
M_000224,불안,기숙사에 있던 아들을 오랜만에 봤는데 걱정될 정도로 살이 너무 빠져서 당황했어.,3
M_000225,불안,내일 아들 녀석이 골절 수술을 받을 예정이야. 걱정되네.,3
M_000226,불안,아이가 자꾸 나를 피하고 말을 안 해. 무슨 일인지 걱정스러워.,3
M_000227,불안,딸이 교우관계로 고민한다고 해서 걱정스러워.,3
M_000228,불안,사춘기인 아들이 방에 들어가 문을 걸어놓고 있어서 너무 답답해.,3
M_000229,불안,내 아내는 겁이 너무 많아서 걱정이야.,3
M_000230,불안,세상 무서운 줄 모르고 밤 늦게 다니는 딸이 걱정되는데 어떡하지?,3
M_000231,불안,우리 아들이 곧 군대에 가는데 걱정이야.,3
M_000232,불안,요즘은 무릎은 너무 시큰거려서 관절염에 걸린 게 아닐까 걱정돼.,3
M_000233,불안,건강을 위해서 금연해야 하는 데 나 스스로 끝까지 금연할 수 있을지 자신이 없어서 많이 불안해.,3
M_000234,불안,아내가 등산을 갔다가 발목을 다쳐서 많이 걱정스러워.,3
M_000235,불안,녹내장 관리를 하고 있지만 불안해서 가지고 있던 차를 팔았어.,3
M_000236,불안,나와 같이 간암을 진단받은 친구가 아직도 매일 술을 마신다는 것을 전해 들었어.,3
M_000237,불안,항암치료를 받는데 난 머리가 왜 이리 빠질까? 동생은 머리가 안 빠졌는데 말이지.,3
M_000238,불안,가족력 때문에 고혈압을 조심해야 하는데 딸이 자꾸 식후에 커피를 마셔. 너무 걱정돼.,3
M_000239,불안,나이가 육십 대 후반이 되니 인생이 길어야 이십 년도 남지 않았다는 생각이 들어.,3
M_000240,불안,내가 혈압이 높아.,3
M_000241,불안,나이가 드니까 건강이 걱정되네.,3
M_000242,불안,정년퇴직하고 만성질환은 없지만 죽음을 걱정하고 있어.,3
M_000243,불안,나 건강때문에 걱정스러워.,3
M_000244,불안,죽음이 다가오니 걱정이 많아져.,3
M_000245,불안,아내의 체력이 점점 나빠지는 것 같아서 걱정이야.,3
M_000246,불안,얼마 전에 피 검사를 했는데 의사가 식단 관리를 해야 한대서 걱정이야.,3
M_000247,불안,아내가 병원을 무서워 해서 아플 때마다 병원 가기를 미뤄.,3
M_000248,불안,아내가 불면증 때문에 밤에 잠을 못 자서 걱정이야.,3
M_000249,불안,나와 같이 간암을 진단받은 친구가 아직도 매일 술을 마신다는 것을 전해 들었어.,3
M_000250,불안,항암치료를 받는데 난 머리가 왜 이리 빠질까? 동생은 머리가 안 빠졌는데 말이지.,3
M_000251,불안,가족력 때문에 고혈압을 조심해야 하는데 딸이 자꾸 식후에 커피를 마셔. 너무 걱정돼.,3
M_000252,불안,건강했던 지인들이 죽는 것을 보니 나도 갑자기 저럴까봐 걱정스럽네.,3
M_000253,당황,학교에서 폭력을 당하고 있다고 부모님께 말했는데 부모님이 아무 반응이 없어.,1
M_000254,당황,오늘 학교에 갔는데 갑자기 친구들이 나를 무시하고 따돌렸어.,1
M_000255,당황,내 편이던 친구가 전학 가고 나서 다른 아이들이 나를 다시 괴롭히기 시작했어.,1
M_000256,당황,선생님이 내 편이 아닌 가해자들의 편을 들어서 너무 황당해.,1
M_000257,당황,반 친구들이 나에게도 잘못이 있다고 얘기해서 너무 속상해.,1
M_000258,당황,반 아이들에게 조용히 하라고 했는데 모두가 내 말을 무시했어. 너무 속상해.,1
M_000259,당황,갑자기 반 아이들이 나에게서 멀리 떨어졌어. 너무 슬퍼.,1
M_000260,당황,내가 화장실에 있는데 갑자기 나에게 더러운 물을 쏟았어. 너무 화가 나.,1
M_000261,당황,가해자 무리가 나를 반장으로 억지로 만들었어. 너무 당황스러워.,1
M_000262,당황,내가 급식실에 앉자 모두가 자리에서 떠났어. 너무 슬퍼,1
M_000263,당황,체육대회에서 나만 빼고 모두 짝을 만들었어. 너무 당황스러워.,1
M_000264,당황,선생님이 나에게 오히려 전학을 권했어. 너무 화가 나.,1
M_000265,당황,오늘 반에서 다같이 이야기하고 있었는데 상위권 친구들만 따로 매점을 갔어.,1
M_000266,당황,오늘 시험점수가 나왔는데 내 성적이 너무 부끄러워서 친구들한테 말을 못 했어.,1
M_000267,당황,가족이랑 놀러 왔는데 길을 잃어서 당황스럽네.,1
M_000268,당황,아빠와 쇼핑을 왔는데 아빠가 인파 속으로 사라지셔서 당황스러워.,1
M_000269,당황,누나가 나랑 놀자며 근처 공원에 왔는데 해가 저물고 나니 나 혼자였어.,1
M_000270,당황,가족끼리 바다에 놀러 왔는데 내가 파도에 휩쓸려 가족을 잃어버렸어.,1
M_000271,당황,형과 반딧불이를 따라가다 길을 잃어버렸는데 당황스럽고 무서워.,1
M_000272,당황,동생이랑 다투다가 자리를 비웠는데 가족들이 나를 찾지 않아.,1
M_000273,당황,누나랑 나랑 카페에 갔거든? 근데 자기 친구를 보더니 날 두고 그냥 가버려서 너무 당황스러웠어!,1
M_000295,당황,친구들을 만났는데 나만 모르는 얘기를 친구들끼리 나눠서 기분이 우울해.,1
M_000296,당황,오랜만에 친구들을 만났는데 대화를 이어 나가기가 힘들었어.,1
M_000297,당황,회사 사람들이 다들 나를 피하는 것 같아 우울해.,1
M_000298,당황,회사 후배들은 내 말을 들으려 하지 않아서 섭섭해.,1
M_000299,당황,회사에서 나를 빼고 다같이 점심을 먹으러 간 일이 있었어. 나만 빼고 가서 섭섭해.,1
M_000300,당황,직장동료들이 아무도 내 인사를 받아주지 않아. 그래서 슬퍼.,1
M_000301,당황,회사에서 나만 간식을 못 먹어서 화가나.,1
M_000302,당황,사람들은 내가 편집장이 된 게 싫나 봐. 다들 나를 아니꼽게 봐.,1
M_000303,당황,친구가 내 카카오 톡 메시지를 두 달째 읽지 않아서 슬퍼.,1
M_000304,당황,직장에서 동료들과 예전 같지 않아. 나 혼자인 느낌이야.,1
M_000305,당황,회사에서 동료들에게 따돌림을 당하는 것 같아.,1
M_000306,당황,친구가 내 카카오 톡 메신저를 보지도 않고 대답도 안 해. 답장이 없어서 당황스러워.,1
M_000307,당황,여자 친구가 한 달째 내 연락을 안 받아서 무슨 일이 생긴 건지 걱정 돼.,1
M_000308,당황,아내가 아이들을 모두 데리고 친정으로 돌아갔어. 나에게 화가 난 걸까?,1
M_000309,당황,아내가 갑자기 이혼을 하자며 자신이 사랑하는 남자를 소개해서 너무 혼란스러워.,1
M_000310,당황,여자 친구가 나한테 인사도 없이 고향으로 떠나버려서 너무 슬퍼.,1
M_000311,당황,아내와 이혼하고 나니 아이들까지 나를 무시하기 시작해서 너무 당황스러워.,1
M_000312,당황,아내가 나랑 싸우고 본가로 돌아갔는데 부모님조차도 나만 타박하셔서 당혹스러워.,1
M_000313,당황,딸만 둘을 낳는 바람에 집안에서 나 혼자 남자가 되어서 고립된 기분이야.,1
M_000314,당황,아내가 나를 가정폭력으로 신고해서 나 혼자 격리 조치되어서 너무 슬퍼.,1
M_000315,당황,아내와 싸울 때마다 아이들은 항상 아내 편만 들어서 너무 속상해.,1
M_000379,당황,중년이 되니 집에 들어가면 고립된 기분이야.,1
M_000380,당황,갑자기 아내가 사라져서 당황스럽네.,1
M_000381,당황,아들이 화분 깨뜨려서 치우는데 정작 아들이 없어져서 어이가 없네.,1
M_000382,당황,아내가 선물 사왔는데 내 것은 하나도 없었어. 왜 이런 걸까.,1
M_000383,당황,아내가 차 사고가 났다고 해서 가봤더니 없어.,1
M_000384,당황,아들이랑 딸이 차려준 밥이 맛없다고 먹다가 방에 들어갔어.,1
M_000385,당황,아들이 졸업식 날 아빠만 오지 말라고 하더라고.,1
M_000386,당황,오늘 딸 생일인데 사장님이 나 보고 오늘 야근하래.,1
M_000387,당황,가족끼리 나만 모르게 모아둔 돈이 있었어.,1
M_000388,당황,가족끼리 올해 여름휴가 여행가기로 했는데 나만 못 가서 속상하네.,1
M_000389,당황,가족 다 같이 비를 맞았는데 나만 감기 걸렸어.,1
M_000390,당황,아내가 우산 가지고 온다 해놓고 당황스럽게 연락이 없네.,1
M_000391,당황,아들이 화분 깨뜨려서 아내가 조각 깨진 거 치우는데 정작 아들이 없어져서 어이가 없네.,1
M_000392,당황,우리 애랑 얘기해 본 적이 언제인지 기억도 안 나.,1
M_000393,당황,가족과 대화를 안 한 지 벌써 일 년이 넘었어.,1
M_000394,당황,우리 아들 성적표가 나왔는데 참 어이가 없네.,1
M_000395,당황,아들이 어디를 가는지 모르겠어.,1
M_000396,당황,어제 간만에 일찍 퇴근했는데 아내와 아이들이 함께 즐겁게 얘기하는데 조금은 당황했어!,1
M_000397,당황,아이들과 저녁을 먹으면서 친구관계에 대해서 대화를 했는데 대인관계의 관념에 차이에 당황했어.,1
M_000398,당황,난 집에서 어떤 존재일까?,1
M_000399,당황,집에서 나 혼자라는 생각이 자주 들어.,1
M_000400,당황,건강검진을 받았는데 상태가 좋지 않아. 자식들이 요양원에 들어가라고 재촉해서 당황스러워.,1
M_000401,당황,정년퇴직하고 만성질환으로 고생하고 있어.,1
M_000402,당황,점점 이 세상에서 내가 고립되는거 같아.,1
M_000403,당황,관절염이 심한 상태라 침대 밖을 벗어날 수 없어. 답답해.,1
M_000404,당황,항임치료 받고나서 산골자기에 와서 요양중인데 도시가 그립다. 여기있으면 답답해.,1
M_000405,당황,죽어서 영원히 무덤에 묻힌다면 얼마나 차갑고 외롭게 느껴질까. 생각만해도 답답하네.,1
M_000406,당황,혼자있는 시간이 많으니 자꾸 죽음에 대해 생각하게 돼.,1
M_000407,당황,환갑 넘어서 질환이 걸리니 먼가 고립된 기분이야.,1
M_000408,당황,건강검진을 받았는데 상태가 좋지 않아. 자식들이 요양원에 들어가라고 재촉해서 당황스러워.,1
M_000409,당황,우리 개가 죽어서 슬퍼.,1
M_000410,당황,사회에서 은퇴하고 노년을 보내려니 삶이 고독하기만 하네.,1
M_000411,당황,사람은 누구나 나이가 들면 건강을 잃게 되고 죽음에 이르게 되지 않겠어.,1
M_000412,당황,가족 여행지가 마음에 안 들어서 불평을 조금 했는데 나만 빼고 가버려서 너무 당황스러워.,1
M_000413,당황,와이프도 자식을 낳고 죽고 이번에 내 자식도 사고로 잃게 되어서 내 삶의 목적이 사라졌어.,1
M_000414,당황,지난번부터 자녀들이 요양병원에 들어갈 생각은 없냐고 물어봐서 당황스러워,1
M_000415,당황,아내에게 밖에서 기분 나빴던 이야기를 해도 듣는 둥 마는 둥 해서 되게 당황했어.,1
M_000416,당황,가게에서 일하는 사람들과 회식을 할 때면 꼭 이차는 나만 빼고 자기들끼리 가.,1
M_000417,당황,아내가 떠나간 후에 우울증이 왔는데 그 이후로 다른 사람들의 위로를 받아도 아무런 도움이 되지 않았어.,1
M_000418,당황,오늘이 내 생일인데 자녀들은 바쁘다고 하고 주위에는 축하해줄 사람이 아무도 없네.,1
M_000419,당황,내 주변 사람들은 모두 떠나고 대화를 나눌 상대가 없어 하루 동안 한마디도 하지 못했어.,1
M_000420,당황,만성 당뇨로 외출을 못해서 친구들을 만나지 못하고 있어.,1
M_000477,당황,요즘 들어서 고립되었다는 생각만 자꾸 들어.,1
M_000505,분노,요즘 아내를 보면 너무 역겨워서 구역질이나.,2
M_000506,분노,아이들이 돈을 너무 원해서 구역질이 날 것 같아. 무슨 좋은 방법이 없니?,2
M_000507,분노,내가 일만 하는 기계 같아서 지치고 구역질이 날 지경이야.,2
M_000508,분노,부인 때문에 아주 진절머리가 나. 토할거 같아.,2
M_000509,분노,내가 우리 아들때문에 구역질이 나.,2
M_000510,분노,나는 우리 아이가 문신한 것을 보면 구역질이 나.,2
M_000511,분노,정말 우리 아내는 지긋지긋해.  다시는 꼴도 보기 싫어.,2
M_000512,분노,김과장은 늘 심부장에게 잘 보이려고 아첨을 잘하는 것 같아.,2
M_000513,분노,신랑이 어제 술을 먹고 인사불성이 돼서 들어왔지 뭐야.,2
M_000514,분노,오늘 집에 오는 길에 대학생 딸이 처음 보는 청년이랑 우리 집 앞에서 키스하는 걸 봤어.,2
M_000515,분노,아들이 나 몰래 대부업체에 빚을 지고 있었어.,2
M_000516,분노,집 나갔던 아들이 돈이 떨어졌다고 다시 돌아왔어.,2
M_000517,분노,아들이 자기가 잘못된 게 부모 탓이라면서 화를 냈어.,2
M_000518,분노,아내와 이혼한지 얼마 안 됐는데 전 아내가 재혼한다는 소식을 들었어.,2
M_000519,분노,가족들이 고양이와 개를 모두 좋아해서 둘 다 키우게 됐는데 뒤처리가 너무 힘들어.,2
M_000520,분노,딸아이가 내게는 학교 캠핑을 간다고 하고 남자친구와 여행을 간 것 같아.,2
M_000521,분노,딸이 없는 방을 둘러보다가 우연히 콘돔을 발견했어.,2
M_000522,분노,우연히 아내가 처음 보는 남자와 웃으며 얘기하는 걸 봤는데 자꾸 신경 쓰여.,2
M_000523,분노,경찰서에서 아들이 학교 폭력에 연루되었다고 연락이 왔어.,2
M_000524,분노,아내에게 구역질이 날 지경이야.,2
M_000525,분노,담배를 끊어야 하는데 끊기가 어려워.,2
M_000526,분노,교통사고 현장을 봐서 속이 매슥거려.,2
M_000527,분노,김 씨는 나랑 음식 취향이 정말 안 맞는 것 같아.,2
